Dataset,parse_time,invoc_time,invoc_num,invoc_token,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Apache,8.14,5.25,8.00,138.00,29,29,1.0000,0.9988,1.0000,0.8966,0.8966,0.8966
BGL,408.22,195.88,275.00,141.13,312,313,0.9688,0.9615,0.9056,0.7853,0.7827,0.7840
Hadoop,195.17,171.48,238.00,171.84,267,234,0.9034,0.8902,0.8703,0.7004,0.7991,0.7465
HDFS,828.48,18.71,21.00,195.05,46,46,1.0000,1.0000,1.0000,0.9783,0.9783,0.9783
HealthApp,94.53,72.57,87.00,133.45,139,144,0.8647,0.9730,0.9046,0.8129,0.7847,0.7986
HPC,55.55,32.57,47.00,122.49,75,74,0.8704,0.9973,0.8591,0.8267,0.8378,0.8322
Linux,323.35,291.06,351.00,150.87,329,272,0.8609,0.8119,0.8253,0.6474,0.7831,0.7088
Mac,869.01,761.84,704.00,214.83,720,617,0.9102,0.7174,0.8556,0.5639,0.6580,0.6073
OpenSSH,213.78,54.45,51.00,170.92,36,38,0.7482,0.9998,0.8919,0.9444,0.8947,0.9189
OpenStack,34.48,11.11,17.00,175.53,48,48,1.0000,1.0000,1.0000,0.9583,0.9583,0.9583
Proxifier,5.32,3.66,3.00,218.33,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Spark,1189.54,160.78,222.00,153.44,250,234,0.9549,0.9840,0.8884,0.7760,0.8291,0.8017
Thunderbird,2133.25,1104.37,1219.00,157.28,1263,1158,0.8203,0.6446,0.8558,0.5550,0.6054,0.5791
Zookeeper,42.30,35.58,50.00,133.30,77,77,1.0000,0.9990,1.0000,0.9481,0.9481,0.9481

cf-vnpm,139.67,134.68,46.00,280.80,75,60,0.6675,0.7824,0.7111,0.5733,0.7167,0.6370
